Dataset,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1 Score,Std F1 Score
Internet-Advertisements,0.9588298268478868,0.00993337920205295,0.9339563714810891,0.013921928957137774,0.7604156712852366,0.08220405182621955,0.8360547690669092,0.04639418960595553
churn,0.877,0.007874007874011818,0.6882432886605778,0.08014456230882029,0.2376785535910498,0.03956993984200648,0.3525155881455507,0.05173361853112398
climate-model-simulation-crashes,0.9111111111111111,0.008281733249999201,0.3633333333333333,0.2534210374499761,0.1511111111111111,0.09609665915750958,0.21098901098901096,0.1342279690954063
kc1,0.7932759959923901,0.01945982236675232,0.31865199615199613,0.029274549224280553,0.29412587412587415,0.08160812195472018,0.30128489758386534,0.04854820283324045
ozone-level-8hr,0.9392247663150673,0.008658887149148496,0.5356410256410256,0.1312850611654572,0.2875,0.08671523078444754,0.3713983674561755,0.10069014842731568
pc1,0.9188414659002895,0.015305020845670217,0.3911111111111111,0.1284763512849979,0.24666666666666665,0.054518090779320405,0.29961290322580647,0.07513331120440431
pc3,0.8893053166216106,0.012826482053188547,0.4320307108350586,0.10852030952693194,0.225,0.05590169943749474,0.293498023715415,0.06653479858845385
pc4,0.8834157134114766,0.012203312537015036,0.5308009768009768,0.060850900786226104,0.39365079365079364,0.04821387745597613,0.45190768930523034,0.05317650794938769
sick,0.9668614190103115,0.0016151667685286935,0.838329250195376,0.043443448994415594,0.571600370027752,0.0324556343710945,0.6784388185654008,0.017509372895312264
wilt,0.9706564564513235,0.004978792389433778,0.8920950356269829,0.04676523515920632,0.5176342525399129,0.07214024318021,0.6537706664243471,0.06880103638669209
