Dataset,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1 Score,Std F1 Score
Internet-Advertisements,0.9542557251908399,0.00901048850182385,0.9102004078801263,0.02059078552874639,0.7473005255613951,0.06750221804137461,0.8193942755497494,0.0403887943710269
churn,0.877,0.007874007874011818,0.6882432886605778,0.08014456230882029,0.2376785535910498,0.03956993984200648,0.3525155881455507,0.05173361853112398
climate-model-simulation-crashes,0.9111111111111111,0.008281733249999201,0.3633333333333333,0.2534210374499761,0.1511111111111111,0.09609665915750958,0.21098901098901096,0.1342279690954063
kc1,0.7852179982213418,0.02647250314663839,0.3079503349502781,0.03585771203947038,0.30638694638694636,0.08680935601137152,0.3019267746328371,0.049537730983760506
ozone-level-8hr,0.9392247663150673,0.008658887149148496,0.5356410256410256,0.1312850611654572,0.2875,0.08671523078444754,0.3713983674561755,0.10069014842731568
pc1,0.9224491459785579,0.011689085853907887,0.4274786324786325,0.10429053559944153,0.31166666666666665,0.08449194570424384,0.35642857142857143,0.0840675141703114
pc3,0.8822786106332433,0.008859162688933721,0.37672305764411024,0.0548784643715989,0.2125,0.02614562582918986,0.2696108878333942,0.02249348583029268
pc4,0.884112413500918,0.018019253395647795,0.5358045977011494,0.08771632065291227,0.4163492063492063,0.06293555714968681,0.46798279404211607,0.07047524071291181
sick,0.9660656630421418,0.00241050757198515,0.8285204991087344,0.05636054329871986,0.5672525439407956,0.038125598492191284,0.671542532034968,0.023030755489913613
wilt,0.9708630680215714,0.005430149090483835,0.8830174400127125,0.06278981366292795,0.5291001451378811,0.06889818043026102,0.6608584488585569,0.06907527136678307
